train_steps,agent_steps,return,env_steps,env,run
246000,4396270.5,17.6,17585082.0,atari_pong,atari_pong_gae_vtrace
248000,4431791.5,17.2,17727166.0,atari_pong,atari_pong_gae_vtrace
250000,4464477.0,17.4,17857908.0,atari_pong,atari_pong_gae_vtrace
252000,4499028.0,17.2,17996112.0,atari_pong,atari_pong_gae_vtrace
254000,4531025.0,17.6,18124100.0,atari_pong,atari_pong_gae_vtrace
256000,4564529.5,17.5,18258118.0,atari_pong,atari_pong_gae_vtrace
258000,4598739.5,17.8,18394958.0,atari_pong,atari_pong_gae_vtrace
260000,4635667.0,17.4,18542668.0,atari_pong,atari_pong_gae_vtrace
262000,4671173.0,17.6,18684692.0,atari_pong,atari_pong_gae_vtrace
264000,4707097.5,18.4,18828390.0,atari_pong,atari_pong_gae_vtrace
266000,4741557.0,17.8,18966228.0,atari_pong,atari_pong_gae_vtrace
268000,4773955.5,18.0,19095822.0,atari_pong,atari_pong_gae_vtrace
270000,4809131.0,17.8,19236524.0,atari_pong,atari_pong_gae_vtrace
272000,4844076.5,17.7,19376306.0,atari_pong,atari_pong_gae_vtrace
274000,4880250.0,18.1,19521000.0,atari_pong,atari_pong_gae_vtrace
276000,4915080.0,17.8,19660320.0,atari_pong,atari_pong_gae_vtrace
278000,4948729.5,17.7,19794918.0,atari_pong,atari_pong_gae_vtrace
280000,4984195.0,17.6,19936780.0,atari_pong,atari_pong_gae_vtrace
282000,5017321.0,18.6,20069284.0,atari_pong,atari_pong_gae_vtrace
284000,5048840.0,18.6,20195360.0,atari_pong,atari_pong_gae_vtrace
286000,5083977.0,17.5,20335908.0,atari_pong,atari_pong_gae_vtrace
288000,5118009.0,17.8,20472036.0,atari_pong,atari_pong_gae_vtrace
290000,5154873.5,17.7,20619494.0,atari_pong,atari_pong_gae_vtrace
292000,5191009.5,18.1,20764038.0,atari_pong,atari_pong_gae_vtrace
294000,5226152.5,19.3,20904610.0,atari_pong,atari_pong_gae_vtrace
296000,5259480.0,17.4,21037920.0,atari_pong,atari_pong_gae_vtrace
298000,5292286.0,18.1,21169144.0,atari_pong,atari_pong_gae_vtrace
300000,5325749.5,18.4,21302998.0,atari_pong,atari_pong_gae_vtrace
302000,5362643.0,18.4,21450572.0,atari_pong,atari_pong_gae_vtrace
304000,5397758.0,17.1,21591032.0,atari_pong,atari_pong_gae_vtrace
306000,5430817.0,18.2,21723268.0,atari_pong,atari_pong_gae_vtrace
308000,5466867.5,18.6,21867470.0,atari_pong,atari_pong_gae_vtrace
310000,5502689.0,18.4,22010756.0,atari_pong,atari_pong_gae_vtrace
312000,5539271.0,18.2,22157084.0,atari_pong,atari_pong_gae_vtrace
314000,5575992.0,18.4,22303968.0,atari_pong,atari_pong_gae_vtrace
316000,5607487.0,18.9,22429948.0,atari_pong,atari_pong_gae_vtrace
318000,5638211.5,18.1,22552846.0,atari_pong,atari_pong_gae_vtrace
320000,5673165.0,17.2,22692660.0,atari_pong,atari_pong_gae_vtrace
322000,5709227.0,18.1,22836908.0,atari_pong,atari_pong_gae_vtrace
324000,5741378.0,16.9,22965512.0,atari_pong,atari_pong_gae_vtrace
326000,5775590.5,17.2,23102362.0,atari_pong,atari_pong_gae_vtrace
328000,5811358.5,18.2,23245434.0,atari_pong,atari_pong_gae_vtrace
330000,5848454.0,18.3,23393816.0,atari_pong,atari_pong_gae_vtrace
332000,5883644.0,18.1,23534576.0,atari_pong,atari_pong_gae_vtrace
334000,5916629.5,18.1,23666518.0,atari_pong,atari_pong_gae_vtrace
336000,5951840.0,18.4,23807360.0,atari_pong,atari_pong_gae_vtrace
338000,5987485.5,17.8,23949942.0,atari_pong,atari_pong_gae_vtrace
340000,6023144.5,18.9,24092578.0,atari_pong,atari_pong_gae_vtrace
342000,6056464.0,17.6,24225856.0,atari_pong,atari_pong_gae_vtrace
344000,6092705.0,18.2,24370820.0,atari_pong,atari_pong_gae_vtrace
346000,6128447.5,18.1,24513790.0,atari_pong,atari_pong_gae_vtrace
348000,6161825.5,17.4,24647302.0,atari_pong,atari_pong_gae_vtrace
350000,6197111.5,17.7,24788446.0,atari_pong,atari_pong_gae_vtrace
352000,6233229.0,17.6,24932916.0,atari_pong,atari_pong_gae_vtrace
354000,6268976.0,17.0,25075904.0,atari_pong,atari_pong_gae_vtrace
356000,6303507.5,17.2,25214030.0,atari_pong,atari_pong_gae_vtrace
358000,6339050.5,18.2,25356202.0,atari_pong,atari_pong_gae_vtrace
360000,6374221.0,18.0,25496884.0,atari_pong,atari_pong_gae_vtrace
362000,6411031.5,17.5,25644126.0,atari_pong,atari_pong_gae_vtrace
364000,6444830.0,18.5,25779320.0,atari_pong,atari_pong_gae_vtrace
366000,6478824.5,17.4,25915298.0,atari_pong,atari_pong_gae_vtrace
368000,6512754.5,17.6,26051018.0,atari_pong,atari_pong_gae_vtrace
370000,6547459.0,17.9,26189836.0,atari_pong,atari_pong_gae_vtrace
372000,6582589.5,17.8,26330358.0,atari_pong,atari_pong_gae_vtrace
374000,6615098.5,17.3,26460394.0,atari_pong,atari_pong_gae_vtrace
376000,6651384.5,18.8,26605538.0,atari_pong,atari_pong_gae_vtrace
378000,6684775.5,17.8,26739102.0,atari_pong,atari_pong_gae_vtrace
380000,6716728.5,17.9,26866914.0,atari_pong,atari_pong_gae_vtrace
382000,6751582.5,17.5,27006330.0,atari_pong,atari_pong_gae_vtrace
384000,6783848.0,18.0,27135392.0,atari_pong,atari_pong_gae_vtrace
386000,6817201.0,17.7,27268804.0,atari_pong,atari_pong_gae_vtrace
388000,6849845.0,17.9,27399380.0,atari_pong,atari_pong_gae_vtrace
390000,6883492.5,18.3,27533970.0,atari_pong,atari_pong_gae_vtrace
392000,6917930.0,18.6,27671720.0,atari_pong,atari_pong_gae_vtrace
394000,6951847.0,16.9,27807388.0,atari_pong,atari_pong_gae_vtrace
396000,6986556.5,18.5,27946226.0,atari_pong,atari_pong_gae_vtrace
398000,7019379.0,17.5,28077516.0,atari_pong,atari_pong_gae_vtrace
400000,7052637.5,17.8,28210550.0,atari_pong,atari_pong_gae_vtrace
402000,7086349.0,18.0,28345396.0,atari_pong,atari_pong_gae_vtrace
404000,7120485.5,17.6,28481942.0,atari_pong,atari_pong_gae_vtrace
406000,7155958.5,18.0,28623834.0,atari_pong,atari_pong_gae_vtrace
408000,7188829.0,18.2,28755316.0,atari_pong,atari_pong_gae_vtrace
410000,7220957.5,17.4,28883830.0,atari_pong,atari_pong_gae_vtrace
412000,7257014.5,18.6,29028058.0,atari_pong,atari_pong_gae_vtrace
414000,7292757.0,17.0,29171028.0,atari_pong,atari_pong_gae_vtrace
416000,7330416.5,18.3,29321666.0,atari_pong,atari_pong_gae_vtrace
418000,7365692.5,17.9,29462770.0,atari_pong,atari_pong_gae_vtrace
420000,7399951.0,17.4,29599804.0,atari_pong,atari_pong_gae_vtrace
422000,7434443.0,19.2,29737772.0,atari_pong,atari_pong_gae_vtrace
424000,7468502.5,18.0,29874010.0,atari_pong,atari_pong_gae_vtrace
426000,7505288.0,18.1,30021152.0,atari_pong,atari_pong_gae_vtrace
428000,7539450.5,18.3,30157802.0,atari_pong,atari_pong_gae_vtrace
430000,7572736.5,18.0,30290946.0,atari_pong,atari_pong_gae_vtrace
432000,7609470.0,18.2,30437880.0,atari_pong,atari_pong_gae_vtrace
434000,7639561.0,17.6,30558244.0,atari_pong,atari_pong_gae_vtrace
436000,7671928.5,17.8,30687714.0,atari_pong,atari_pong_gae_vtrace
438000,7703551.0,18.1,30814204.0,atari_pong,atari_pong_gae_vtrace
440000,7737726.0,18.1,30950904.0,atari_pong,atari_pong_gae_vtrace
442000,7768488.0,17.4,31073952.0,atari_pong,atari_pong_gae_vtrace
444000,7803427.0,18.3,31213708.0,atari_pong,atari_pong_gae_vtrace
446000,7839176.5,18.6,31356706.0,atari_pong,atari_pong_gae_vtrace
448000,7874334.0,16.8,31497336.0,atari_pong,atari_pong_gae_vtrace
450000,7905717.5,17.8,31622870.0,atari_pong,atari_pong_gae_vtrace
452000,7941494.0,18.0,31765976.0,atari_pong,atari_pong_gae_vtrace
454000,7977756.0,18.4,31911024.0,atari_pong,atari_pong_gae_vtrace
456000,8010492.5,18.5,32041970.0,atari_pong,atari_pong_gae_vtrace
458000,8045418.0,18.8,32181672.0,atari_pong,atari_pong_gae_vtrace
460000,8079800.5,17.6,32319202.0,atari_pong,atari_pong_gae_vtrace
462000,8115072.5,17.4,32460290.0,atari_pong,atari_pong_gae_vtrace
464000,8149422.0,18.2,32597688.0,atari_pong,atari_pong_gae_vtrace
466000,8184466.0,17.9,32737864.0,atari_pong,atari_pong_gae_vtrace
468000,8218595.5,17.7,32874382.0,atari_pong,atari_pong_gae_vtrace
470000,8251790.5,18.2,33007162.0,atari_pong,atari_pong_gae_vtrace
472000,8284543.5,17.2,33138174.0,atari_pong,atari_pong_gae_vtrace
474000,8318967.5,18.5,33275870.0,atari_pong,atari_pong_gae_vtrace
476000,8352213.5,18.3,33408854.0,atari_pong,atari_pong_gae_vtrace
478000,8386423.5,17.6,33545694.0,atari_pong,atari_pong_gae_vtrace
480000,8420505.0,17.7,33682020.0,atari_pong,atari_pong_gae_vtrace
482000,8454191.5,18.2,33816766.0,atari_pong,atari_pong_gae_vtrace
484000,8488351.0,17.5,33953404.0,atari_pong,atari_pong_gae_vtrace
486000,8523684.5,17.8,34094738.0,atari_pong,atari_pong_gae_vtrace
488000,8558945.0,18.2,34235780.0,atari_pong,atari_pong_gae_vtrace
490000,8591361.5,17.6,34365446.0,atari_pong,atari_pong_gae_vtrace
492000,8624002.0,17.2,34496008.0,atari_pong,atari_pong_gae_vtrace
494000,8660943.5,17.7,34643774.0,atari_pong,atari_pong_gae_vtrace
496000,8695640.5,18.4,34782562.0,atari_pong,atari_pong_gae_vtrace
498000,8728372.5,18.7,34913490.0,atari_pong,atari_pong_gae_vtrace
500000,8765573.0,17.8,35062292.0,atari_pong,atari_pong_gae_vtrace
502000,8800452.5,19.0,35201810.0,atari_pong,atari_pong_gae_vtrace
504000,8832300.5,18.6,35329202.0,atari_pong,atari_pong_gae_vtrace
506000,8867699.5,18.3,35470798.0,atari_pong,atari_pong_gae_vtrace
508000,8903767.0,18.1,35615068.0,atari_pong,atari_pong_gae_vtrace
510000,8939373.0,18.1,35757492.0,atari_pong,atari_pong_gae_vtrace
512000,8975668.5,18.7,35902674.0,atari_pong,atari_pong_gae_vtrace
514000,9012084.0,18.9,36048336.0,atari_pong,atari_pong_gae_vtrace
516000,9048694.5,17.6,36194778.0,atari_pong,atari_pong_gae_vtrace
518000,9081848.0,18.4,36327392.0,atari_pong,atari_pong_gae_vtrace
520000,9116661.5,17.6,36466646.0,atari_pong,atari_pong_gae_vtrace
522000,9152244.5,17.6,36608978.0,atari_pong,atari_pong_gae_vtrace
524000,9188958.0,18.4,36755832.0,atari_pong,atari_pong_gae_vtrace
526000,9226040.0,18.5,36904160.0,atari_pong,atari_pong_gae_vtrace
528000,9262149.0,17.4,37048596.0,atari_pong,atari_pong_gae_vtrace
530000,9296562.5,18.2,37186250.0,atari_pong,atari_pong_gae_vtrace
532000,9332896.5,18.8,37331586.0,atari_pong,atari_pong_gae_vtrace
534000,9366828.0,18.4,37467312.0,atari_pong,atari_pong_gae_vtrace
536000,9403665.5,18.4,37614662.0,atari_pong,atari_pong_gae_vtrace
538000,9439752.0,17.6,37759008.0,atari_pong,atari_pong_gae_vtrace
540000,9475585.0,19.0,37902340.0,atari_pong,atari_pong_gae_vtrace
542000,9508958.5,18.2,38035834.0,atari_pong,atari_pong_gae_vtrace
544000,9540284.0,18.3,38161136.0,atari_pong,atari_pong_gae_vtrace
546000,9575733.0,18.5,38302932.0,atari_pong,atari_pong_gae_vtrace
548000,9610522.0,18.6,38442088.0,atari_pong,atari_pong_gae_vtrace
550000,9645893.0,19.2,38583572.0,atari_pong,atari_pong_gae_vtrace
552000,9681797.0,19.0,38727188.0,atari_pong,atari_pong_gae_vtrace
554000,9714701.5,18.6,38858806.0,atari_pong,atari_pong_gae_vtrace
556000,9748818.5,18.6,38995274.0,atari_pong,atari_pong_gae_vtrace
558000,9780273.0,18.8,39121092.0,atari_pong,atari_pong_gae_vtrace
560000,9814610.5,18.4,39258442.0,atari_pong,atari_pong_gae_vtrace
562000,9848194.0,18.1,39392776.0,atari_pong,atari_pong_gae_vtrace
564000,9879063.5,18.0,39516254.0,atari_pong,atari_pong_gae_vtrace
566000,9909711.5,15.8,39638846.0,atari_pong,atari_pong_gae_vtrace
568000,9943538.5,18.3,39774154.0,atari_pong,atari_pong_gae_vtrace
570000,9977263.5,17.2,39909054.0,atari_pong,atari_pong_gae_vtrace
572000,10013067.0,18.8,40052268.0,atari_pong,atari_pong_gae_vtrace
574000,10048584.0,18.6,40194336.0,atari_pong,atari_pong_gae_vtrace
576000,10080878.0,18.2,40323512.0,atari_pong,atari_pong_gae_vtrace
578000,10112708.0,18.0,40450832.0,atari_pong,atari_pong_gae_vtrace
580000,10147128.0,19.4,40588512.0,atari_pong,atari_pong_gae_vtrace
582000,10183917.5,17.5,40735670.0,atari_pong,atari_pong_gae_vtrace
584000,10216918.0,18.4,40867672.0,atari_pong,atari_pong_gae_vtrace
586000,10253235.0,18.2,41012940.0,atari_pong,atari_pong_gae_vtrace
588000,10286999.5,17.8,41147998.0,atari_pong,atari_pong_gae_vtrace
590000,10321312.5,17.8,41285250.0,atari_pong,atari_pong_gae_vtrace
592000,10355100.5,18.6,41420402.0,atari_pong,atari_pong_gae_vtrace
594000,10391935.0,18.0,41567740.0,atari_pong,atari_pong_gae_vtrace
596000,10426410.0,18.2,41705640.0,atari_pong,atari_pong_gae_vtrace
598000,10462717.5,18.2,41850870.0,atari_pong,atari_pong_gae_vtrace
600000,10498230.5,18.3,41992922.0,atari_pong,atari_pong_gae_vtrace
602000,10532892.5,17.8,42131570.0,atari_pong,atari_pong_gae_vtrace
604000,10565717.0,19.3,42262868.0,atari_pong,atari_pong_gae_vtrace
606000,10601435.0,18.5,42405740.0,atari_pong,atari_pong_gae_vtrace
608000,10637963.0,17.4,42551852.0,atari_pong,atari_pong_gae_vtrace
610000,10674213.0,18.8,42696852.0,atari_pong,atari_pong_gae_vtrace
612000,10707211.5,18.4,42828846.0,atari_pong,atari_pong_gae_vtrace
614000,10742600.5,19.0,42970402.0,atari_pong,atari_pong_gae_vtrace
616000,10778327.0,19.0,43113308.0,atari_pong,atari_pong_gae_vtrace
618000,10812493.5,18.0,43249974.0,atari_pong,atari_pong_gae_vtrace
620000,10846214.5,18.4,43384858.0,atari_pong,atari_pong_gae_vtrace
622000,10877027.0,18.2,43508108.0,atari_pong,atari_pong_gae_vtrace
624000,10912321.0,18.6,43649284.0,atari_pong,atari_pong_gae_vtrace
626000,10944343.0,19.0,43777372.0,atari_pong,atari_pong_gae_vtrace
628000,10978698.0,18.1,43914792.0,atari_pong,atari_pong_gae_vtrace
630000,11014428.5,18.9,44057714.0,atari_pong,atari_pong_gae_vtrace
632000,11051179.0,17.8,44204716.0,atari_pong,atari_pong_gae_vtrace
634000,11084973.5,18.5,44339894.0,atari_pong,atari_pong_gae_vtrace
636000,11120723.5,18.3,44482894.0,atari_pong,atari_pong_gae_vtrace
638000,11157806.0,18.2,44631224.0,atari_pong,atari_pong_gae_vtrace
640000,11193020.5,18.5,44772082.0,atari_pong,atari_pong_gae_vtrace
642000,11225878.5,19.0,44903514.0,atari_pong,atari_pong_gae_vtrace
644000,11261873.5,18.5,45047494.0,atari_pong,atari_pong_gae_vtrace
646000,11293755.0,19.0,45175020.0,atari_pong,atari_pong_gae_vtrace
648000,11324146.0,19.2,45296584.0,atari_pong,atari_pong_gae_vtrace
650000,11357665.0,18.8,45430660.0,atari_pong,atari_pong_gae_vtrace
652000,11390588.0,18.5,45562352.0,atari_pong,atari_pong_gae_vtrace
654000,11423910.0,18.9,45695640.0,atari_pong,atari_pong_gae_vtrace
656000,11462434.5,19.4,45849738.0,atari_pong,atari_pong_gae_vtrace
658000,11502896.0,18.8,46011584.0,atari_pong,atari_pong_gae_vtrace
660000,11539987.5,19.7,46159950.0,atari_pong,atari_pong_gae_vtrace
662000,11575763.5,18.2,46303054.0,atari_pong,atari_pong_gae_vtrace
664000,11615563.0,18.9,46462252.0,atari_pong,atari_pong_gae_vtrace
666000,11655011.5,18.5,46620046.0,atari_pong,atari_pong_gae_vtrace
668000,11694681.0,17.6,46778724.0,atari_pong,atari_pong_gae_vtrace
670000,11734663.5,18.3,46938654.0,atari_pong,atari_pong_gae_vtrace
672000,11770883.0,18.9,47083532.0,atari_pong,atari_pong_gae_vtrace
674000,11810513.5,18.0,47242054.0,atari_pong,atari_pong_gae_vtrace
676000,11850262.5,18.1,47401050.0,atari_pong,atari_pong_gae_vtrace
678000,11890443.0,18.2,47561772.0,atari_pong,atari_pong_gae_vtrace
680000,11930325.0,18.6,47721300.0,atari_pong,atari_pong_gae_vtrace
682000,11967345.5,18.4,47869382.0,atari_pong,atari_pong_gae_vtrace
